Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
516064.0,BSE,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Active,B ,10.0,INE570D01018,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,,,,,,,
