Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
539391.0,BSE,Acme Resources Limited,ACME,Acme Resources Ltd,Active,Z ,10.0,INE636B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
