Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
524640.0,BSE,Archit Organosys Limited,ARCHITORG,ARCHIT ORGANOSYS LTD.,Active,X ,10.0,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,,,,,,
